k,C_measured,C_HL_prediction
1,0.401451,0.396880
2,1.074172,1.058348
3,0.802987,0.793761
4,0.518142,0.503975
5,1.621402,1.587522
6,0.464016,0.455904
7,1.535034,1.511925
8,0.849569,0.835538
9,0.597840,0.587971
10,1.300693,1.284129
11,0.563659,0.549527
12,1.115172,1.090419
13,1.053822,1.034829
14,0.708351,0.696764
15,1.449647,1.432350
16,0.554091,0.541480
17,1.031937,1.017642
18,0.940987,0.925669
19,0.631487,0.623720
20,1.246439,1.233558
21,0.700552,0.685966
22,1.168851,1.151943
23,1.284178,1.259734
24,0.410614,0.408642
25,1.337494,1.308503
26,0.767101,0.749019
27,0.828025,0.815214
28,1.467973,1.442733
29,0.510023,0.502424
30,1.821307,1.784665
31,0.463142,0.459150
32,0.867491,0.855782
33,1.386528,1.360733
34,0.475821,0.467333
35,2.298491,2.249889
36,0.411956,0.404550
37,1.301950,1.282846
38,0.965728,0.955630
39,0.520635,0.513651
40,1.992571,1.953873
41,0.450932,0.441438
42,1.354840,1.333690
43,0.939879,0.927185
44,0.743277,0.731439
45,1.326946,1.302582
46,0.449376,0.445229
47,1.140935,1.124104
48,1.057210,1.048268
49,0.708138,0.691389
50,1.222359,1.207008
51,0.756319,0.744333
52,1.024201,1.012659
53,0.852148,0.837175
54,0.570350,0.560528
55,1.615776,1.592099
56,0.755019,0.739473
57,1.006131,0.993636
58,1.172303,1.149779
59,0.484473,0.475602
60,1.231096,1.204210
61,0.654736,0.640633
62,1.102194,1.081099
63,1.467696,1.443947
64,0.404541,0.401114
65,1.998155,1.961168
66,0.523128,0.515549
67,0.836805,0.827402
68,1.327479,1.304342
69,0.501030,0.492320
70,2.466389,2.430767
71,0.431710,0.421118
72,1.138868,1.125688
73,0.960400,0.942340
74,0.512687,0.505981
75,1.621189,1.602086
76,0.464165,0.453823
77,1.896636,1.862055
78,1.007750,0.997049
79,0.609134,0.595714
80,1.224959,1.200753
81,0.466722,0.461535
82,1.350323,1.322140
83,0.853448,0.843999
84,0.807057,0.798972
85,1.406324,1.384986
86,0.584628,0.575434
87,0.973975,0.960013
88,1.057018,1.045398
89,0.603487,0.586904
90,1.223083,1.199610
91,0.894895,0.877196
92,1.022283,1.006318
93,1.165697,1.145164
94,0.418989,0.418333
95,1.765710,1.739090
96,0.594899,0.585282
97,0.865211,0.855485
98,1.369437,1.351649
99,0.538386,0.529363
100,1.935121,1.904359
101,0.444944,0.435007
102,0.950449,0.935022
103,1.299499,1.279678
104,0.490823,0.488231
105,2.070160,2.024004
106,0.501989,0.492543
107,1.151973,1.135682
108,1.031553,1.013119
109,0.429388,0.417983
110,2.134728,2.094954
111,0.436761,0.428877
112,1.360509,1.347970
113,0.984587,0.967227
114,0.724248,0.710792
115,1.381222,1.357701
116,0.444709,0.431127
117,1.507566,1.478327
118,0.855515,0.837295
119,0.793738,0.776623
120,1.296218,1.273595
121,0.772493,0.760234
122,0.848760,0.835816
123,0.920509,0.907390
124,0.593450,0.581543
125,1.523868,1.499484
126,0.781656,0.766401
127,0.876100,0.865047
128,1.224554,1.212732
129,0.428514,0.423951
130,1.685927,1.653936
131,0.549424,0.540292
132,1.055143,1.036788
133,1.526979,1.507015
134,0.480467,0.473017
135,1.698009,1.668043
136,0.550255,0.540550
137,0.846586,0.835831
138,1.225918,1.206097
139,0.555263,0.545538
140,2.026432,1.993954
141,0.430347,0.425864
142,1.220484,1.194374
143,1.316973,1.291742
144,0.403177,0.398737
145,1.817215,1.794958
146,0.468725,0.459591
147,1.836820,1.809141
148,0.865573,0.853712
149,0.554389,0.538922
150,1.420900,1.400650
151,0.420374,0.407791
152,1.357781,1.335676
153,0.978577,0.968367
154,0.863783,0.854176
155,1.365005,1.335798
156,0.669184,0.658453
157,0.840811,0.837798
158,1.042570,1.018908
159,0.603551,0.595664
160,1.391131,1.365893
161,0.850145,0.839063
162,0.819267,0.803957
163,1.108822,1.090461
164,0.480019,0.469496
165,1.908548,1.881507
166,0.560676,0.551781
167,0.826747,0.806753
168,1.366007,1.339252
169,0.598415,0.588294
170,1.891245,1.861983
171,0.457197,0.451576
172,1.008432,0.985712
173,1.250232,1.225915
174,0.437251,0.430287
175,2.037918,2.007749
